19:13 $ vw-varinfo ~/Documents/scratch/OpenNMT-py/vw/discriminator/data/wmt16_train.vw
FeatureName            HashVal   MinVal   MaxVal    Weight   RelScore
Surfer                   11370     0.00     0.00   +0.2984     18.79%
Worker                   34413     0.00     0.00   +0.2982     18.78%
facing                   93033     0.00     0.00   +0.2978     18.76%
At                       29602     0.00     0.00   +0.2977     18.75%
game                    144081     0.00     0.00   +0.2971     18.71%
brown                   237056     0.00     0.00   +0.2969     18.70%
event                    51192     0.00     0.00   +0.2957     18.63%
bicycle                  18153     0.00     0.00   +0.2956     18.62%
School                  168809     0.00     0.00   +0.2954     18.61%
next                    136553     0.00     0.00   +0.2948     18.57%
females                 188407     0.00     0.00   +0.2945     18.55%
worker                  132455     0.00     0.00   +0.2939     18.51%
bikers                   36743     0.00     0.00   +0.2937     18.50%
helping                 101176     0.00     0.00   +0.2926     18.43%
male                     52672     0.00     0.00   +0.2924     18.42%
air                     202356     0.00     0.00   +0.2915     18.36%
field                    68174     0.00     0.00   +0.2914     18.36%
poles                    54326     0.00     0.00   +0.2907     18.31%
plays                   172769     0.00     0.00   +0.2903     18.28%
Eight                   190928     0.00     0.00   +0.2885     18.18%
arms                    230020     0.00     0.00   +0.2875     18.11%
climb                   164681     0.00     0.00   +0.2866     18.05%
Musicians               221380     0.00     0.00   +0.2865     18.04%
skating                 213711     0.00     0.00   +0.2860     18.01%
picture                   5161     0.00     0.00   +0.2845     17.92%
Local                   244097     0.00     0.00   +0.2840     17.89%
coffee                   62080     0.00     0.00   +0.2834     17.85%
girls                    35854     0.00     0.00   +0.2833     17.85%
brushing                162599     0.00     0.00   +0.2829     17.82%
swimming                118530     0.00     0.00   +0.2815     17.73%
stage                   245160     0.00     0.00   +0.2806     17.67%
refrigerated            203621     0.00     0.00   +0.2805     17.67%
running                 203621     0.00     0.00   +0.2805     17.67%
object                  182077     0.00     0.00   +0.2805     17.67%
bikes                   171469     0.00     0.00   +0.2805     17.67%
't                      118292     0.00     0.00   +0.2803     17.65%
3                            3     0.00     0.00   +0.2793     17.59%
waters                  156813     0.00     0.00   +0.2791     17.58%
Members                 215700     0.00     0.00   +0.2777     17.49%
Protesters              233870     0.00     0.00   +0.2775     17.48%
compete                  44752     0.00     0.00   +0.2770     17.45%
car                      29162     0.00     0.00   +0.2768     17.44%
kicking                  28650     0.00     0.00   +0.2766     17.43%
rain                     11908     0.00     0.00   +0.2759     17.38%
at                      151491     0.00     0.00   +0.2758     17.38%
biker                   188650     0.00     0.00   +0.2758     17.37%
Mother                  179987     0.00     0.00   +0.2750     17.32%
summer                  105872     0.00     0.00   +0.2743     17.28%
racetrack               243224     0.00     0.00   +0.2743     17.28%
American                150380     0.00     0.00   +0.2736     17.24%
drill                   105293     0.00     0.00   +0.2727     17.18%
sale                    105879     0.00     0.00   +0.2726     17.17%
Multiple                102818     0.00     0.00   +0.2726     17.17%
They                    208991     0.00     0.00   +0.2719     17.13%
board                    19965     0.00     0.00   +0.2719     17.12%
horse                   126920     0.00     0.00   +0.2717     17.12%
marketplace             197756     0.00     0.00   +0.2698     16.99%
soldiers                 39240     0.00     0.00   +0.2696     16.98%
Runners                 122842     0.00     0.00   +0.2687     16.93%
USA                      56633     0.00     0.00   +0.2683     16.90%
crouches                 56633     0.00     0.00   +0.2683     16.90%
ruins                    56633     0.00     0.00   +0.2683     16.90%
blue                    258307     0.00     0.00   +0.2679     16.87%
buying                   10992     0.00     0.00   +0.2661     16.76%
win                      79482     0.00     0.00   +0.2656     16.73%
AAA                     252726     0.00     0.00   +0.2647     16.67%
fruits                  252726     0.00     0.00   +0.2647     16.67%
grassy                   98280     0.00     0.00   +0.2645     16.66%
holds                    14717     0.00     0.00   +0.2642     16.64%
dance                   171191     0.00     0.00   +0.2641     16.64%
visiting                 61030     0.00     0.00   +0.2620     16.50%
hay                     105744     0.00     0.00   +0.2619     16.50%
While                   133139     0.00     0.00   +0.2614     16.47%
crowded                  93739     0.00     0.00   +0.2614     16.47%
shirts                  148723     0.00     0.00   +0.2611     16.45%
cliff                   204219     0.00     0.00   +0.2607     16.42%
goggles                 110067     0.00     0.00   +0.2605     16.41%
behind                  218022     0.00     0.00   +0.2604     16.41%
lady                    200658     0.00     0.00   +0.2602     16.39%
rodeo                   149157     0.00     0.00   +0.2602     16.39%
cup                      32615     0.00     0.00   +0.2601     16.38%
parked                  203127     0.00     0.00   +0.2599     16.37%
church                   78518     0.00     0.00   +0.2599     16.37%
roof                    105823     0.00     0.00   +0.2597     16.36%
Dogs                    150808     0.00     0.00   +0.2593     16.33%
cooking                 255619     0.00     0.00   +0.2588     16.30%
blond                    61404     0.00     0.00   +0.2586     16.29%
couple                   61364     0.00     0.00   +0.2581     16.26%
spraying                174174     0.00     0.00   +0.2578     16.24%
painted                 131208     0.00     0.00   +0.2570     16.19%
vendor                   96523     0.00     0.00   +0.2570     16.19%
carts                    91948     0.00     0.00   +0.2562     16.14%
volleyball              204916     0.00     0.00   +0.2559     16.12%
on                      211401     0.00     0.00   +0.2554     16.09%
using                   214789     0.00     0.00   +0.2553     16.08%
shirt                   111128     0.00     0.00   +0.2542     16.01%
Female                  232213     0.00     0.00   +0.2540     16.00%
instruments              72199     0.00     0.00   +0.2539     15.99%
microphone              126712     0.00     0.00   +0.2538     15.98%
sweeping                 37159     0.00     0.00   +0.2535     15.97%
sign                     59521     0.00     0.00   +0.2533     15.96%
together                191421     0.00     0.00   +0.2530     15.94%
protect                  66087     0.00     0.00   +0.2530     15.93%
focused                 197587     0.00     0.00   +0.2526     15.91%
dancers                 115993     0.00     0.00   +0.2523     15.89%
children                 71389     0.00     0.00   +0.2517     15.86%
wedding                 218610     0.00     0.00   +0.2515     15.84%
cart                     16021     0.00     0.00   +0.2514     15.84%
listening                 1595     0.00     0.00   +0.2511     15.82%
Skiers                  140436     0.00     0.00   +0.2506     15.78%
building                120723     0.00     0.00   +0.2501     15.76%
chatting                226943     0.00     0.00   +0.2500     15.75%
sleeping                248226     0.00     0.00   +0.2499     15.74%
enthusiast               10667     0.00     0.00   +0.2496     15.72%
bench                    48891     0.00     0.00   +0.2495     15.71%
surrounded              116588     0.00     0.00   +0.2481     15.63%
debris                  174765     0.00     0.00   +0.2478     15.61%
watch                      864     0.00     0.00   +0.2477     15.60%
conversing              161289     0.00     0.00   +0.2471     15.56%
umbrellas               101209     0.00     0.00   +0.2470     15.56%
laying                   57025     0.00     0.00   +0.2453     15.45%
Hockey                  128955     0.00     0.00   +0.2449     15.42%
baby                     52773     0.00     0.00   +0.2448     15.42%
beautiful                 4597     0.00     0.00   +0.2440     15.37%
wheat                     4597     0.00     0.00   +0.2440     15.37%
flag                     22668     0.00     0.00   +0.2435     15.34%
staring                 217188     0.00     0.00   +0.2434     15.33%
wait                     41131     0.00     0.00   +0.2434     15.33%
pigeons                 209956     0.00     0.00   +0.2431     15.31%
trip                     43488     0.00     0.00   +0.2428     15.29%
bicycles                203782     0.00     0.00   +0.2422     15.25%
She                     224997     0.00     0.00   +0.2420     15.24%
bucket                   83512     0.00     0.00   +0.2419     15.23%
cutting                 142254     0.00     0.00   +0.2414     15.20%
hats                    200471     0.00     0.00   +0.2411     15.19%
pink                    225709     0.00     0.00   +0.2411     15.18%
fire                    192533     0.00     0.00   +0.2410     15.18%
kissing                  31070     0.00     0.00   +0.2410     15.18%
Military                128507     0.00     0.00   +0.2408     15.17%
Tourists                240508     0.00     0.00   +0.2404     15.14%
hang                    251232     0.00     0.00   +0.2402     15.13%
shoveling               157532     0.00     0.00   +0.2399     15.11%
wooden                   38685     0.00     0.00   +0.2396     15.09%
equipment               218663     0.00     0.00   +0.2392     15.07%
practice                174793     0.00     0.00   +0.2391     15.06%
Cowboy                  128109     0.00     0.00   +0.2387     15.03%
trail                   122605     0.00     0.00   +0.2386     15.03%
winded                  135934     0.00     0.00   +0.2379     14.98%
Vendors                 242844     0.00     0.00   +0.2377     14.97%
skier                    82203     0.00     0.00   +0.2373     14.94%
umbrella                158592     0.00     0.00   +0.2372     14.94%
hair                    116077     0.00     0.00   +0.2366     14.91%
child                   147554     0.00     0.00   +0.2364     14.89%
Firetrucks               65350     0.00     0.00   +0.2362     14.88%
smile                   228180     0.00     0.00   +0.2354     14.83%
mouth                   238204     0.00     0.00   +0.2354     14.83%
wrestler                149298     0.00     0.00   +0.2354     14.83%
daughter                 41349     0.00     0.00   +0.2352     14.81%
tent                    140691     0.00     0.00   +0.2347     14.79%
airplane                257107     0.00     0.00   +0.2347     14.79%
makeup                  133978     0.00     0.00   +0.2347     14.78%
boat                    185792     0.00     0.00   +0.2343     14.76%
people                  138851     0.00     0.00   +0.2339     14.74%
Soccer                  144676     0.00     0.00   +0.2339     14.73%
participate              36649     0.00     0.00   +0.2337     14.72%
bystanders              160114     0.00     0.00   +0.2335     14.71%
fallen                   12284     0.00     0.00   +0.2332     14.69%
Looks                   248947     0.00     0.00   +0.2330     14.68%
Photographers            81729     0.00     0.00   +0.2328     14.67%
Band                     15531     0.00     0.00   +0.2328     14.66%
line                     59896     0.00     0.00   +0.2324     14.64%
groom                     4520     0.00     0.00   +0.2305     14.52%
watches                 200020     0.00     0.00   +0.2301     14.49%
scaffolding             180813     0.00     0.00   +0.2301     14.49%
Photo                    14415     0.00     0.00   +0.2300     14.49%
doing                   175391     0.00     0.00   +0.2300     14.49%
White                   132620     0.00     0.00   +0.2296     14.47%
Customers               211665     0.00     0.00   +0.2294     14.45%
Excited                  59343     0.00     0.00   +0.2291     14.43%
balloons                 98573     0.00     0.00   +0.2288     14.41%
Cooks                    25930     0.00     0.00   +0.2288     14.41%
passengers                5865     0.00     0.00   +0.2288     14.41%
tennis                    1182     0.00     0.00   +0.2285     14.39%
Somebody                118864     0.00     0.00   +0.2285     14.39%
teams                     3063     0.00     0.00   +0.2275     14.33%
trying                  197470     0.00     0.00   +0.2269     14.29%
including                31293     0.00     0.00   +0.2269     14.29%
